threshold,learning_rate,batch_size,hidden_size,mIoU,avg_prediction_time
0.01,0.001,8,128,0.7808828353881836,0.0033279097810083504
0.01,0.001,16,32,0.7266128659248352,0.006214393471142293
0.01,0.001,16,64,0.742300808429718,0.0062557677833401425
0.01,0.001,16,128,0.7356100082397461,0.0064719904963546175
0.02,0.05,4,32,0.5268807411193848,0.002204236414272653
0.02,0.05,4,64,0.5675325989723206,0.002154239065097998
0.02,0.05,4,128,0.5351088047027588,0.0023740095577851677
0.02,0.05,8,32,0.5394548939895766,0.00318531809325816
0.02,0.05,8,64,0.5726001858711243,0.00304187734342525
0.02,0.05,8,128,0.5564806240630976,0.0031267223830820866
0.02,0.05,16,32,0.8029515743255615,0.006342478465755896
0.02,0.05,16,64,0.7840133905410767,0.006568955262965433
0.02,0.05,16,128,0.5545340442440349,0.007031770211267054
0.02,0.01,4,32,0.80866938829422,0.0023697889233469617
0.02,0.01,4,64,0.8557301759719849,0.0026376739187768876
0.02,0.01,4,128,0.8774651885032654,0.0024861554362683533
0.02,0.01,8,32,0.7922436594963074,0.003933924280172187
0.02,0.01,8,64,0.8638942241668701,0.003534579416058154
0.02,0.01,8,128,0.8708749413490295,0.004043762954956589
0.02,0.01,16,32,0.7696729898452759,0.007052898406982422
0.02,0.01,16,64,0.8047952055931091,0.006825064778675491
0.02,0.01,16,128,0.8178218007087708,0.007282681784893959
0.02,0.005,4,32,0.838497519493103,0.002602735170470035
0.02,0.005,4,64,0.8270840048789978,0.002328691086338143
0.02,0.005,4,128,0.8465281128883362,0.002566015233798903
0.02,0.005,8,32,0.7464340329170227,0.003708275344559472
0.02,0.005,8,64,0.8547313809394836,0.003628525720045796
0.02,0.005,8,128,0.8289387226104736,0.0036551434514126347
0.02,0.005,16,32,0.7626804709434509,0.007040127373297777
0.02,0.005,16,64,0.7838327288627625,0.007156390837955753
0.02,0.005,16,128,0.7751019597053528,0.007332398662066668
0.02,0.001,4,32,0.7593994140625,0.0023445007404850108
0.02,0.001,4,64,0.7822637557983398,0.0024279555843453367
0.02,0.001,4,128,0.791028618812561,0.0025656819343566895
0.02,0.001,8,32,0.779764711856842,0.0039595084009643195
0.02,0.001,8,64,0.7539997100830078,0.0034986880360817424
0.02,0.001,8,128,0.7034474611282349,0.0038005016287978814
0.02,0.001,16,32,0.7028272747993469,0.006937293200034094
0.02,0.001,16,64,0.750006377696991,0.0068774522219732966
0.02,0.001,16,128,0.724882185459137,0.006283811508045252
0.05,0.05,4,32,0.5510497093200684,0.002071093018478972
0.05,0.05,4,64,0.5497551921457025,0.0020895124176848385
0.05,0.05,4,128,0.5483855230656354,0.0023099828739555515
0.05,0.05,8,32,0.5563736237688742,0.0031024283639891153
0.05,0.05,8,64,0.5640890546562634,0.003083245399742015
0.05,0.05,8,128,0.5652480893490858,0.003128773964528787
0.05,0.05,16,32,0.5516755483764154,0.006012575271873363
0.05,0.05,16,64,0.5234076079959649,0.0060493681938238114
0.05,0.05,16,128,0.5464404225349426,0.0061624335130519145
0.05,0.01,4,32,0.8613501787185669,0.002091497095958832
0.05,0.01,4,64,0.8651285767555237,0.002096070492580403
0.05,0.01,4,128,0.7922411561012268,0.0022572249434779754
0.05,0.01,8,32,0.8204047083854675,0.003181180175469846
0.05,0.01,8,64,0.860544741153717,0.0029558482044987357
0.05,0.01,8,128,0.8163567781448364,0.0031871545419053502
0.05,0.01,16,32,0.7887113690376282,0.006120052003999493
0.05,0.01,16,64,0.7596558928489685,0.006060924196382306
0.05,0.01,16,128,0.8370187282562256,0.006297553593493759
0.05,0.005,4,32,0.8535616993904114,0.002133637753589508
0.05,0.005,4,64,0.85018390417099,0.0020809555887828417
0.05,0.005,4,128,0.8776633739471436,0.002349836833275442
0.05,0.005,8,32,0.7957583665847778,0.003128155674948289
0.05,0.005,8,64,0.813193678855896,0.0030554866651751906
0.05,0.005,8,128,0.8091970682144165,0.003180602201567447
0.05,0.005,16,32,0.7913343906402588,0.005937870320356274
0.05,0.005,16,64,0.8184691071510315,0.006100437036408627
0.05,0.005,16,128,0.8003665804862976,0.0062212054305451955
0.05,0.001,4,32,0.7466353178024292,0.002115452602375353
